Title,Body,Labels,Milestone,Estimate,Priority,DependsOn
"[Sprint1][Infra][S1-01] 初始化 monorepo 目录","建立 apps/packages/openapi/vault 基础结构并补齐 README","phase1,infra,priority/p0","Sprint 1","1d","P0",""
"[Sprint1][FE][S1-02] /workspace 三栏布局骨架","完成左导航/中工作区/右证据栏基础布局","phase1,frontend,priority/p0","Sprint 1","1.5d","P0","S1-01"
"[Sprint1][BE][S1-03] 定义核心 schema","定义 session/citation/path/graph zod schema","phase1,backend,priority/p0","Sprint 1","1d","P0","S1-01"
"[Sprint1][Workflow][S1-04] ModelScope 服务端封装","封装统一模型调用客户端并支持流式输出","phase1,workflow,priority/p0","Sprint 1","1d","P0","S1-03"
"[Sprint1][Infra][S1-05] CI 基础流水线","接入 lint/typecheck/test/build","phase1,infra,priority/p0","Sprint 1","1d","P0","S1-01"
"[Sprint1][KB][S1-06] vault 模板初始化","建立 note/skill 模板与目录规范","phase1,kb-lite,priority/p1","Sprint 1","1d","P1","S1-01"
"[Sprint2][API][S2-01] POST /api/workspace/session","实现学习会话创建接口","phase1,backend,api,priority/p0","Sprint 2","1d","P0","S1-03"
"[Sprint2][API][S2-02] POST /api/workspace/socratic/next","实现 Socratic 下一层提示接口","phase1,backend,workflow,api,priority/p0","Sprint 2","1.5d","P0","S2-01;S1-04"
"[Sprint2][API][S2-03] POST /api/workspace/socratic/unlock-final","实现最终答案解锁门控","phase1,backend,api,priority/p0","Sprint 2","1d","P0","S2-02"
"[Sprint2][API][S2-04] GET /api/workspace/session/{id}/stream","实现 SSE 流式接口","phase1,backend,api,priority/p0","Sprint 2","1d","P0","S2-01;S2-02"
"[Sprint2][FE][S2-05] workspace 对接引导链路","完成工作区引导流程联调","phase1,frontend,priority/p0","Sprint 2","1.5d","P0","S2-02;S2-04"
"[Sprint2][KB][S2-06] POST /api/workspace/note/save","会话沉淀为 markdown 笔记","phase1,kb-lite,backend,priority/p0","Sprint 2","1d","P0","S2-01"
"[Sprint3][API][S3-01] GET /api/graph/view","实现图谱视图接口","phase1,backend,api,priority/p0","Sprint 3","1d","P0","S1-03"
"[Sprint3][API][S3-02] GET /api/graph/node/{nodeId}","实现节点详情与证据接口","phase1,backend,api,priority/p0","Sprint 3","1d","P0","S3-01"
"[Sprint3][Workflow][S3-03] 掌握度更新规则版","学习结束更新节点掌握度","phase1,workflow,priority/p0","Sprint 3","1d","P0","S2-02;S3-01"
"[Sprint3][API][S3-04] POST /api/path/generate","实现 7 日计划生成","phase1,backend,api,priority/p0","Sprint 3","1d","P0","S3-03"
"[Sprint3][API][S3-05] POST /api/path/replan","实现计划重排","phase1,backend,api,priority/p0","Sprint 3","0.5d","P0","S3-04"
"[Sprint3][FE][S3-06] /graph + /path 页面联调","图谱与路径页面可演示","phase1,frontend,priority/p0","Sprint 3","1.5d","P0","S3-01;S3-02;S3-04;S3-05"
"[Sprint4][FE][S4-01] /dashboard 轻量版","实现核心 KPI 展示","phase1,frontend,priority/p1","Sprint 4","1d","P1","S3-06"
"[Sprint4][Data][S4-02] 核心学习指标埋点","实现独立完成率/依赖率/citation覆盖率","phase1,data,priority/p0","Sprint 4","1d","P0","S2-05"
"[Sprint4][BE][S4-03] 错误码与 traceId 统一","统一 API 错误模型与链路追踪","phase1,backend,infra,priority/p0","Sprint 4","1d","P0","S2-01;S2-02;S3-04"
"[Sprint4][Infra][S4-04] Vercel Preview/Prod","完成部署配置与环境变量校验","phase1,infra,priority/p0","Sprint 4","1d","P0","S1-05"
"[Sprint4][QA][S4-05] 一期回归与演示脚本","完成可复现演示闭环","phase1,qa,priority/p0","Sprint 4","1d","P0","S4-01;S4-02;S4-03;S4-04"
